"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1958","Contract policy is NOT fulfilled Dismantler activityType does not match","","Mon Aug 18 04:02:54 GMT 2025","passed","Mon Aug 18 04:02:56 GMT 2025","","org.eclipse.tractusx.edc.tests.transfer.StsConsumerPullTest","org.eclipse.tractusx.edc.tests.transfer.StsConsumerPullTest","transferData_whenContractPolicyNotFulfilled"
"","27","Policy is accepted Usage Purpose","","Mon Aug 18 03:59:36 GMT 2025","passed","Mon Aug 18 03:59:36 GMT 2025","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","shouldNotAcceptInvalidValidPolicyDefinitions"
"","5046","Contract policy is fulfilled Dismantler allowedBrands (IS_ANY_OF, one intersects)","","Mon Aug 18 04:03:35 GMT 2025","passed","Mon Aug 18 04:03:40 GMT 2025","","org.eclipse.tractusx.edc.tests.transfer.StsConsumerPullTest","org.eclipse.tractusx.edc.tests.transfer.StsConsumerPullTest","transferData_whenContractPolicyFulfilled"
"","270","Expect the Catalog request to fail if a credential is revoked","","Mon Aug 18 04:02:34 GMT 2025","passed","Mon Aug 18 04:02:35 GMT 2025","","org.eclipse.tractusx.edc.tests.transfer.StsConsumerPullTest","org.eclipse.tractusx.edc.tests.transfer.StsConsumerPullTest","catalogRequest_whenCredentialRevoked"
"","2128","Contract policy is NOT fulfilled Traceability Use Case (new notation)","","Mon Aug 18 04:01:16 GMT 2025","passed","Mon Aug 18 04:01:18 GMT 2025","","org.eclipse.tractusx.edc.tests.transfer.DimConsumerPullTest","org.eclipse.tractusx.edc.tests.transfer.DimConsumerPullTest","transferData_whenContractPolicyNotFulfilled"
"","5052","Contract policy is fulfilled Dismantler allowedBrands (IS_NONE_OF, no intersect)","","Mon Aug 18 04:03:45 GMT 2025","passed","Mon Aug 18 04:03:50 GMT 2025","","org.eclipse.tractusx.edc.tests.transfer.StsConsumerPullTest","org.eclipse.tractusx.edc.tests.transfer.StsConsumerPullTest","transferData_whenContractPolicyFulfilled"
"","2073","transferMultipleFile_success(Vault)","","Mon Aug 18 04:00:12 GMT 2025","passed","Mon Aug 18 04:00:15 GMT 2025","","org.eclipse.tractusx.edc.dataplane.transfer.test.AzureToAzureTest","org.eclipse.tractusx.edc.dataplane.transfer.test.AzureToAzureTest","transferMultipleFile_success"
"","507","Policy is accepted MembershipCredential","","Mon Aug 18 03:59:36 GMT 2025","passed","Mon Aug 18 03:59:37 GMT 2025","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","shouldAcceptValidPolicyDefinitions"
"","52","Provider gets 200 when asset selector has a valid criterion","","Mon Aug 18 04:00:16 GMT 2025","passed","Mon Aug 18 04:00:16 GMT 2025","","org.eclipse.tractusx.edc.tests.validators.EmptyAssetSelectorValidatorTest","org.eclipse.tractusx.edc.tests.validators.EmptyAssetSelectorValidatorTest","shouldPass_whenContractDefinitionHasCorrectAssetSelector"
"","63","Policy is accepted In force date policy","","Mon Aug 18 03:59:37 GMT 2025","passed","Mon Aug 18 03:59:37 GMT 2025","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","shouldAcceptValidPolicyDefinitions"
"","2092","Contract policy is NOT fulfilled Dismantler activityType does not match","","Mon Aug 18 04:01:18 GMT 2025","passed","Mon Aug 18 04:01:20 GMT 2025","","org.eclipse.tractusx.edc.tests.transfer.DimConsumerPullTest","org.eclipse.tractusx.edc.tests.transfer.DimConsumerPullTest","transferData_whenContractPolicyNotFulfilled"
"","12062","shouldTransferOneGbFile()","","Mon Aug 18 04:00:51 GMT 2025","passed","Mon Aug 18 04:01:03 GMT 2025","","org.eclipse.tractusx.edc.dataplane.transfer.test.S3ToS3Test","org.eclipse.tractusx.edc.dataplane.transfer.test.S3ToS3Test","shouldTransferOneGbFile"
"","31","Policy is accepted Dismantler allowedBrands (EQ, exact match)","","Mon Aug 18 03:59:36 GMT 2025","passed","Mon Aug 18 03:59:36 GMT 2025","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","shouldNotAcceptInvalidValidPolicyDefinitions"
"","2679","Contract policy is fulfilled Dismantler Credential","","Mon Aug 18 04:01:38 GMT 2025","passed","Mon Aug 18 04:01:41 GMT 2025","","org.eclipse.tractusx.edc.tests.transfer.DimConsumerPullTest","org.eclipse.tractusx.edc.tests.transfer.DimConsumerPullTest","transferData_whenContractPolicyFulfilled"
"","1284","The Authorization header is empty","","Mon Aug 18 03:59:23 GMT 2025","passed","Mon Aug 18 03:59:24 GMT 2025","","org.eclipse.tractusx.edc.dataplane.tokenrefresh.e2e.DataPlaneTokenRefreshEndToEndTest","org.eclipse.tractusx.edc.dataplane.tokenrefresh.e2e.DataPlaneTokenRefreshEndToEndTest","refresh_emptyAuthHeader"
"","17105","Malicious actor should not impersonate a consumer sending a valid consumer VP","","Mon Aug 18 03:59:50 GMT 2025","passed","Mon Aug 18 04:00:07 GMT 2025","","org.eclipse.tractusx.edc.tests.transfer.CredentialSpoofTest","org.eclipse.tractusx.edc.tests.transfer.CredentialSpoofTest","shouldNotImpersonateConsumer_withConsumerPresentation"
"","7214","transferData_withSuspendResume()","","Mon Aug 18 04:00:53 GMT 2025","passed","Mon Aug 18 04:01:00 GMT 2025","","org.eclipse.tractusx.edc.tests.transfer.TransferPullEndToEndTest","org.eclipse.tractusx.edc.tests.transfer.TransferPullEndToEndTest","transferData_withSuspendResume"
"","15800","Expect the Catalog request to fail if a credential is expired","","Mon Aug 18 04:00:58 GMT 2025","passed","Mon Aug 18 04:01:14 GMT 2025","","org.eclipse.tractusx.edc.tests.transfer.DimConsumerPullTest","org.eclipse.tractusx.edc.tests.transfer.DimConsumerPullTest","catalogRequest_whenCredentialExpired"
"","1581","Contract policy is NOT fulfilled Sustainability Use Case (legacy notation)","","Mon Aug 18 04:01:14 GMT 2025","passed","Mon Aug 18 04:01:16 GMT 2025","","org.eclipse.tractusx.edc.tests.transfer.DimConsumerPullTest","org.eclipse.tractusx.edc.tests.transfer.DimConsumerPullTest","transferData_whenContractPolicyNotFulfilled"
"","7107","transferData_withExpiredEdr_shouldReturn4xx()","","Mon Aug 18 04:01:52 GMT 2025","passed","Mon Aug 18 04:02:00 GMT 2025","","org.eclipse.tractusx.edc.tests.transfer.TransferWithTokenRefreshTest","org.eclipse.tractusx.edc.tests.transfer.TransferWithTokenRefreshTest","transferData_withExpiredEdr_shouldReturn4xx"
"","1328","Policy is accepted MembershipCredential","","Mon Aug 18 03:59:34 GMT 2025","passed","Mon Aug 18 03:59:36 GMT 2025","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","shouldNotAcceptInvalidValidPolicyDefinitions"
"","1935","Contract policy is NOT fulfilled Dismantler allowedBrands (NEQ, but is equal)","","Mon Aug 18 04:02:56 GMT 2025","passed","Mon Aug 18 04:02:58 GMT 2025","","org.eclipse.tractusx.edc.tests.transfer.StsConsumerPullTest","org.eclipse.tractusx.edc.tests.transfer.StsConsumerPullTest","transferData_whenContractPolicyNotFulfilled"
"","48","Policy is accepted PCF Use Case (new notation)","","Mon Aug 18 03:59:37 GMT 2025","passed","Mon Aug 18 03:59:37 GMT 2025","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","shouldAcceptValidPolicyDefinitions"
"","3033","Contract policy is fulfilled Dismantler allowedBrands (EQ, exact match)","","Mon Aug 18 04:01:47 GMT 2025","passed","Mon Aug 18 04:01:50 GMT 2025","","org.eclipse.tractusx.edc.tests.transfer.DimConsumerPullTest","org.eclipse.tractusx.edc.tests.transfer.DimConsumerPullTest","transferData_whenContractPolicyFulfilled"
"","223","Verify that the consumer receives only the offers he is permitted to (using the legacy BPN validation)","","Mon Aug 18 04:00:21 GMT 2025","passed","Mon Aug 18 04:00:21 GMT 2025","","org.eclipse.tractusx.edc.tests.catalog.CatalogTest","org.eclipse.tractusx.edc.tests.catalog.CatalogTest","requestCatalog_filteredByBpnLegacy_shouldReject"
"","1137","shouldFail_whenDestinationBucketDoesNotExist()","","Mon Aug 18 04:00:50 GMT 2025","passed","Mon Aug 18 04:00:51 GMT 2025","","org.eclipse.tractusx.edc.dataplane.transfer.test.S3ToS3Test","org.eclipse.tractusx.edc.dataplane.transfer.test.S3ToS3Test","shouldFail_whenDestinationBucketDoesNotExist"
"","2637","transferFile_azureToS3MultipleFiles(Vault)","","Mon Aug 18 04:00:30 GMT 2025","passed","Mon Aug 18 04:00:33 GMT 2025","","org.eclipse.tractusx.edc.dataplane.transfer.test.MultiCloudTest","org.eclipse.tractusx.edc.dataplane.transfer.test.MultiCloudTest","transferFile_azureToS3MultipleFiles"
"","1768","shouldDelegateAuth()","","Mon Aug 18 04:00:02 GMT 2025","passed","Mon Aug 18 04:00:03 GMT 2025","","org.eclipse.tractusx.edc.tests.auth.DelegatedAuthEndToEndTest","org.eclipse.tractusx.edc.tests.auth.DelegatedAuthEndToEndTest","shouldDelegateAuth"
"","3176","Contract policy is fulfilled MembershipCredential","","Mon Aug 18 04:01:26 GMT 2025","passed","Mon Aug 18 04:01:29 GMT 2025","","org.eclipse.tractusx.edc.tests.transfer.DimConsumerPullTest","org.eclipse.tractusx.edc.tests.transfer.DimConsumerPullTest","transferData_whenContractPolicyFulfilled"
"","268","Consumer gets catalog from the provider. No constraints.","","Mon Aug 18 03:59:41 GMT 2025","passed","Mon Aug 18 03:59:41 GMT 2025","","org.eclipse.tractusx.edc.tests.catalog.CatalogTest","org.eclipse.tractusx.edc.tests.catalog.CatalogTest","requestCatalog_fulfillsPolicy_shouldReturnOffer"
"","9960","azureBlobPush_withoutDestFolder()","","Mon Aug 18 03:59:53 GMT 2025","passed","Mon Aug 18 04:00:03 GMT 2025","","org.eclipse.tractusx.edc.tests.transfer.AzureToAzureEndToEndTest","org.eclipse.tractusx.edc.tests.transfer.AzureToAzureEndToEndTest","azureBlobPush_withoutDestFolder"
"","3006","Contract policy is fulfilled Dismantler allowedBrands (IN, fully contained)","","Mon Aug 18 04:01:53 GMT 2025","passed","Mon Aug 18 04:01:56 GMT 2025","","org.eclipse.tractusx.edc.tests.transfer.DimConsumerPullTest","org.eclipse.tractusx.edc.tests.transfer.DimConsumerPullTest","transferData_whenContractPolicyFulfilled"
